gene_name	PPIdegree	TF_outdeg	TF_indeg
SPATS2L	3	0	0
C1orf232	0	0	0
CNKSR1	1	0	0
EXTL1	0	0	0
FAM110D	0	0	0
PAFAH2	0	0	0
PDIK1L	1	0	0
SLC30A2	1	0	0
TRIM63	19	0	0
ZNF593	4	0	0
ZNF593OS	0	0	0
ANAPC7	7	0	0
ATP2A2	15	0	1
TRPM7	7	0	0
USP50	0	0	0
CASP7	8	0	0
HABP2	2	0	0
NRAP	3	0	0
PLEKHS1	0	0	0
ARHGAP24	1	0	0
C5orf47	0	0	0
CPEB4	6	0	0
FAT1	1	0	0
TINAG	0	0	0
AMIGO3	0	0	0
APEH	2	0	0
CDHR4	0	0	0
GMPPB	6	0	0
INKA1	2	0	0
IP6K1	1	0	0
MST1	10	0	0
RNF123	20	0	0
TRAIP	6	0	0
UBA7	0	0	0
EDN1	2	0	0
CAV1	16	0	1
MET	15	0	1
TBX5	6	2	1
ID2	9	0	0
KIDINS220	3	0	0
HPGDS	1	0	0
SMARCAD1	7	0	0
CEP20	0	0	0
MYH11	4	0	0
BMP2	2	0	0
GJC2	1	0	0
IBA57	3	0	0
OBSCN	10	0	0
POM121	3	0	0
SPDYE11	0	0	0
SPDYE8	0	0	0
SPDYE9	0	0	0
TRIM74	2	0	0
CAPZA2	13	0	0
SOCS6	6	0	0
MEIS1	1	0	0
SLC35F1	1	0	0
NKX6-1	0	0	0
COL4A3	2	0	0
COL4A4	2	0	0
MFF	6	0	0
SCYGR1	0	0	0
TM4SF20	0	0	0
CAND2	5	0	0
RPL32	14	0	0
TMEM40	0	0	0
FAAP20	1	0	0
MORN1	0	0	0
RER1	4	0	0
SKI	6	0	0
SOD2	7	0	0
EOGT	0	0	0
TAFA4	3	0	0
TMF1	3	0	0
UBA3	2	0	0
DGLUCY	0	0	0
GPR68	0	0	0
FERMT2	6	0	0
GNPNAT1	4	0	0
CHMP4B	27	0	0
EIF2S2	7	0	0
RALY	7	0	0
DPT	0	0	0
ASIC4	5	0	0
CHPF	0	0	0
DES	9	0	0
DNPEP	2	0	0
GMPPA	1	0	0
INHA	1	0	0
OBSL1	24	0	0
RESP18	0	0	0
SLC4A3	0	0	0
SPEG	2	0	0
SPEGNB	0	0	0
STK11IP	0	0	0
TMEM198	0	0	0
EPPK1	10	0	0
GRINA	1	0	0
NRBP2	1	0	0
PARP10	0	0	0
PLEC	24	0	0
PUF60	17	0	0
SCRIB	17	0	0
SPATC1	1	0	0
SLC24A3	0	0	0
BPI	0	0	1
KIAA1755	0	0	0
TGM2	9	0	0
KIAA1328	0	0	0
TPGS2	0	0	0
CALCRL	1	0	0
KCNN2	3	0	0
CCNL1	34	0	0
LINC00881	0	0	0
WNT11	0	0	0
ARHGEF16	2	0	0
NT5C1B	0	0	0
NT5C1B-RDH14	0	0	0
RDH14	0	0	0
IGF2BP2	10	0	0
LIPH	2	0	0
SENP2	5	0	0
TMEM41A	1	0	0
NR3C2	4	1	0
TNS3	3	0	0
HCN4	2	0	0
REC114	0	0	0
MICU2	1	0	0
ZDHHC20	1	0	0
CDH11	2	0	0
GLIS2	4	0	0
SRL	1	0	0
TFAP4	5	1	0
NSRP1	0	0	0
SLC6A4	20	0	0
USP25	1	0	0
YPEL2	0	0	0
CHRM2	2	0	0
TCF7L2	9	0	0
FAM221B	0	0	0
HINT2	5	0	0
HRCT1	0	0	0
NPR2	1	0	0
OR13J1	0	0	0
OR2S2	0	0	0
SPAAR	0	0	0
SPAG8	6	0	0
TMEM8B	1	0	0
C11orf45	0	0	0
KCNJ1	2	0	0
KCNJ5	5	0	0
TP53AIP1	0	0	0
AGTRAP	5	0	0
C1orf167	0	0	0
CLCN6	0	0	0
KIAA2013	2	0	0
MTHFR	1	0	0
NPPA	3	0	1
NPPB	2	0	1
PLOD1	9	0	0
RNF11	10	0	0
TTC39A	0	0	0
CRIM1	0	0	0
FEZ2	1	0	0
HVCN1	0	0	0
PPP1CC	20	0	0
PPTC7	2	0	0
TCTN1	4	0	0
DYSF	4	0	0
ACTL6A	8	0	0
GNB4	7	0	0
MFN1	3	0	0
CDH9	2	0	0
PAM	17	0	0
IGFBP3	2	0	1
AGFG2	0	0	0
C7orf61	0	0	0
FBXO24	1	0	0
LRCH4	0	0	0
MEPCE	19	0	0
NYAP1	1	0	0
PCOLCE	1	0	0
PILRA	1	0	0
PPP1R35	2	0	0
SAP25	0	0	0
TSC22D4	7	0	0
ZCWPW1	0	0	0
CNTLN	0	0	0
NSUN6	0	0	0
PMP22	9	0	0
TEKT3	1	0	0
TENM2	1	0	0
RASSF3	2	0	0
FGFR1	16	0	0
LETM2	0	0	0
NSD3	4	0	0
TLE3	7	0	0
ANKRD66	0	0	0
CYP39A1	0	0	0
PLA2G7	0	0	0
SLC25A27	0	0	0
TDRD6	0	0	0
FER	2	0	0
EOMES	0	0	0
KIRREL3	1	0	0
IGSF11	0	0	0
APOH	1	0	0
PRKCA	14	0	0
RIOK3	3	0	0
RMC1	5	0	0
