SIGNET_SOURCE	SIGNET_DEST
CAV3	AMPD3 ANK2 ATP1B1 ATP2A2 CACNA1C CACNA2D1 CALM1 CALM2 CALM3 CAND2 CAV1 CCDC141 DYSF EEF1G FERMT2 FLOT1 HCN4 KCNH2 KCNJ2 NACA NDRG2 NDUFB3 NOS3 PLEC PLN PTGES3 RYR2 SCN5A SLC8A1 SNTA1 SOD2 SORBS1 SRL SUN2 TGM2 TKT TTN
CAVIN2	CAV1 MDC1 PITX3 PRKCA
CBX6	CASQ2 IGF2BP2 NCL
CBY1	CDC25C DCP1A DCP1B FAM53C MAPKAP1 SH3PXD2A SIPA1L1
CCDC141	CAV3
CCDC59	DCP1A MRPS35
CCNA1	CCNL1 CDKN1A COPS6 GANAB ORC2
CCNL1	ATP5F1B CALM1 CALM2 CAPZA2 CCNA1 CCT6B CLSTN1 CSTA DCP1B DDX17 DNPEP DSP EED EEF1G EPPK1 GANAB GNPNAT1 GPATCH2 HNRNPR IGF2BP2 LANCL2 MAP3K7 MCM7 MYH6 NACA NCL OBSL1 ORC2 PLEC PTGES3 PUF60 RAD51D RPL22 RPL32 SLC22A17 SPATS2L SRSF3 TGM2 TKT TRAIP TTN TUBB UBXN1
CCT6B	ACTL6A CCNL1 MAPT WDR5B
CD34	PRKCD
CD46	CD81
CD81	APOE ATP1B1 BCAM CD46 CDH2 CSTA DDX17 DSP EPHB4 FADS2 NCL NECTIN2 PAM RPL22 SCAMP3 SLC12A7 SLC19A2 SRSF3 TENM2 TKT TUBB UBXN1
CDC23	ANAPC7 ATP5F1B MDC1 MTCH1 SMARCAD1 SOCS6 SPAG8 TSC22D4
CDC25C	CBY1 CDK5 MAPKAP1 SH3PXD2A SIPA1L1 VARS2
CDH11	CDH2 FGFR1
CDH2	CD81 CDH11 CREBBP DDR1 FGFR1 GJA1 RPL32 SLC6A4 TKT
CDH6	CDH9
CDH9	CDH6 KIF20A
CDK5	CDC25C CDKN1A MAPT
CDKN1A	AKT2 ATP5F1B CAMK2D CCNA1 CDK5 COPS6 CREBBP EPPK1 GCKR MCM7 NCL NKD2 NRBP1 PUF60 TUBB TXNDC11
CDKN2C	COPS6 NIF3L1
CELSR2	DTWD2
CFLAR	CASP7 EPPK1 SUN2
CHD5	MTA2 RNF123 ZNF219
