SIGNET_SOURCE	SIGNET_DEST
SGIP1	ADAM15 MAPT SLC6A4
SH2D1B	MET PLCG1
SH3PXD2A	ADAM15 CBY1 CDC25C FAM53C MAPKAP1 SIPA1L1
SIPA1L1	CBY1 CDC25C EED FAM53C MAPKAP1 MCM7 SH3PXD2A SLC6A4
SKI	AKT2 ATP2A2 ATP5F1B EPPK1 NCL PLEC TUBB
SLC12A7	CD81
SLC19A2	ATP5F1B CD81
SLC22A17	CCNL1
SLC26A9	RNF123
SLC30A2	SLC39A2
SLC35F1	ATP5F1B
SLC39A2	BCL2L2 KCNAB2 PLN SLC30A2
SLC41A1	SYPL2
SLC4A4	ATP2A2 MAPT SCRIB
SLC50A1	CNOT1 RIOK1
SLC6A4	ADCK1 AGAP3 AMPD3 CAPZA2 CDH2 DAGLA DDR1 EXOG FLOT1 KCNAB2 LRCH1 MTCH1 PAM PTGES3 PUF60 SGIP1 SIPA1L1 SNTA1 SORBS1 SRSF3 TGM2 TRIM46
SLC8A1	ANK2 ATP2A2 CACNA2D1 CAV3 CLSTN1 GJA1 PDE3A
SMARCAD1	ACTL6A ANAPC7 CDC23 DDX17 EED HNRNPR MTA2
SNTA1	CALM1 CAV1 CAV3 FAM189B KCNJ2 MCM7 NACA NDRG2 OBSCN PLEC RYR2 SCN5A SCRIB SLC6A4 SOD2 SORBS1
SOCS6	CDC23 MET PLCG1 PLEC RCOR1 SCAMP3
SOD2	ABHD10 CAV3 GJA1 MAPT MST1 SNTA1 TKT
SORBS1	ADAM15 CAV3 FLOT1 PAM PILRA SLC6A4 SNTA1
SORT1	ANO3 MED13L MYH6 SBF2 TUBB TXNDC11 VPS29
SP3	CREBBP PPP1CC TFAP4
SPAG8	BSCL2 CDC23 KDM3B NSD3 RNF11 TEKT3 TEKT5
SPART	GBF1 NCL NME7
SPATA17	CALM1 CALM2 CALM3
SPATC1	RNF123
SPATS2L	CCNL1 FGFR1 OBSL1
SPEG	CACNA1C RYR2
SREBF1	CREBBP ID2 SCAP
SRL	CAV3
SRRT	ARHGEF40 CACNA1C CLK2 EED FAM162A OBSL1 PPP1CC
SRSF3	CCNL1 CD81 CHMP4B CLK2 DDX17 EED KIF20A L1TD1 MAPT MEPCE METTL17 NCL OBSL1 PPP1CC RIOK1 RNF123 SLC6A4
STAG3	CHMP4B KIF20A
STC2	ARHGEF40
STN1	ORC2 PRIM1 RCOR1 TCHP TFAP4
SUN2	CAV3 CFLAR EED TCTN3 TTN
SYPL2	NECTIN2 SLC41A1
TAF6	TBX5
TAF6L	CREBBP RNF123
TAFA4	NRXN3 PLXNA2 TCTN1
TAGLN3	PAM TKT UBXN1
TBX20	TLE3
TBX3	ATP5F1B CALM1 DCP1A UFSP1
TBX5	ACTL6A MET NCL NKX2-5 TAF6 ZNF512
TCF7L2	CREBBP CTNNBIP1 LIG3 MDC1 MRPS35 MTA2 PTGES3 TLE3 UFSP1
TCHP	CPEB4 ID2 NME7 STN1
TCTN1	GANAB PLOD1 TAFA4 TCTN3
TCTN3	ATP2A2 BET1 CSTA FADS2 GANAB GOSR2 KRTCAP2 PLOD1 RER1 RFT1 SUN2 TCTN1 TM9SF2 TMEM41A TP53I11 TRPM7
TEKT3	SPAG8
TEKT5	CSKMT RNF123 SPAG8
TENM2	CD81
TFAP4	GNB4 MDC1 SP3 STN1 ZHX3
TGM2	CALM1 CAV3 CCNL1 PCOLCE PLCD1 PMP22 SERTAD1 SLC6A4 TUBB
THBS3	MAP3K7 MCM9
TKT	CAV3 CCNL1 CD81 CDH2 ESD KCNQ1 MAPT PLEC PRKCD PTGES3 RPL32 SOD2 TAGLN3
TLE3	CREBBP MYH7 PPM1G RMC1 TBX20 TCF7L2 TTN
TM9SF2	DPM3 TCTN3
TMEM179B	BCL2L2 FAM189B HNRNPR PLN RFT1
TMEM223	EEF1G MTHFR TRDN
TMEM41A	TCTN3
TMEM8B	CHRM2
TMF1	BET1 CMTM5 FER
TMPRSS7	HABP2
TNS3	DNPEP GANAB MET
TOMM22	ADCK1 ATP5F1B EED EIF2S2 HNRNPR INTS5 MFF MFN1 MRPS35 MTCH1 MTX1 NECTIN2 PLOD1 RAD51D RER1 TOMM40
TOMM40	ADCK1 ATP1B1 ATP5F1B FARS2 GANAB KIF20A MTCH1 MTX1 NCL NOS1AP PLOD1 TOMM22
TP53I11	TCTN3
TRAIP	CCNL1 FEN1 MAP3K7 MCM7 NCL PLCG1
TRDN	BET1 CALM1 CASQ2 EXOG GOSR2 NRAP PMP22 TMEM223
TRIM46	SLC6A4
TRIM63	ATP5F1B BCAT1 CADPS CHRNA1 DES EED EEF1G INKA1 JOSD1 MCM7 MYBPHL MYH6 NRAP NSD3 SENP2 TSC22D4 TTN UBA3 ZNF436
TRIM74	CNOT1 GNG3
TRIP13	ADAM15 BET1 DCP1A DDR1 KIF20A MBLAC1 MDC1 MEPCE MPPED2 NIF3L1 RIOK1
TRIP6	FARS2 METTL17 MYD88 POM121 SCN10A SCRIB UBE4B
TRPC4AP	COPS6 MYH7B NOS1AP
TRPM7	DDX17 DSP EED PLCG1 TCTN3 TTN TUBB
TSC22D4	BLZF1 CDC23 IFT172 NIF3L1 NRBP1 NRBP2 RNF11 TRIM63
TSSC4	C1orf112 MTA2
TTC9B	PLCG1
TTC9C	PPM1G UBE4B
TTN	ATP5F1B CALM1 CALM2 CALM3 CAV3 CCNL1 DYSF EED KCNH2 MEPCE OBSCN OBSL1 PAM PUF60 SUN2 TLE3 TRIM63 TRPM7
TUBB	ATP5F1B CCNL1 CD81 CDKN1A CMTM5 COPS6 EED EEF1G GJA1 ID2 L1TD1 MAP3K7 MAPT MEPCE MICU2 MST1 MYD88 NCL NFKB2 PPP1CC RELB SENP2 SKI SORT1 TGM2 TRPM7
TUT1	MEPCE
TXNDC11	ACAA1 CDKN1A CREBBP NOS3 SORT1
UBA3	APOE TRIM63
UBE4B	CASP7 EED PDE3A TRIP6 TTC9C UBXN1 VPS29
UBXN1	CCNL1 CD81 RNF11 TAGLN3 UBE4B
UFSP1	TBX3 TCF7L2
UHMK1	PAM
USP25	SENP2
VARS2	CAMK2D CDC25C CMTM5 DSP EED EEF1G GBF1 HINT2 MAPT METTL17 PRKCA RYR2
VILL	EED LITAF MAPT
VPS29	ATP6V1C1 EED GJA1 MCM7 PPM1G PRKCD PUF60 SORT1 UBE4B
WDR5B	CCT6B
WIPF1	FASTK RER1
XPO4	EED
ZDHHC20	RNF11
ZHX2	NFKB2 RELB ZHX3
ZHX3	SCAP TFAP4 ZHX2
ZNF219	CHD5 MTA2
ZNF391	AGTRAP CMTM5
ZNF436	CLK2 TRIM63
ZNF512	BET1 GPATCH4 NGDN NMNAT1 RPL32 TBX5 ZNF593
ZNF593	MAP3K7 MEPCE MRPS35 ZNF512
ZNF800	MTA2
ZNF830	SESTD1
ZSCAN21	CLK2
